,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power
0,Lamination ,5x3,5.3,3.3,5x3,5.3,3.3,130.0,76.2,120.65,41.275,33.599999999999994,53.541546142499996,119.11888090737239,91.2737869328736,24.139109527661816,35.694364095,11.6436795,19985.086548749998,84,85,49,55,22,22,4116,4675,0.04609919999999999,0.052360000000000004,821.8678,1848.485,11.6436795,35.694364095,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
2,Lamination ,5x3,5.3,3.3,5x3,5.3,3.3,95.0,88.7,133.0,44.65,33.599999999999994,50.943352045949986,126.82888468809074,93.84278812110729,22.916927118200547,33.96223469729999,12.39732,20268.012674324997,98,99,45,50,25,25,4410,4950,0.049392,0.055439999999999996,846.146,1872.9697999999999,12.39732,33.96223469729999,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
3,Lamination ,5x3,5.3,3.3,5x3,5.3,3.3,75.0,100.0,152.0,51.0,33.599999999999994,51.581205,139.03751984877124,92.77184640278576,21.550076111817997,34.38747,13.5906945,21508.027275,111,112,43,49,28,28,4773,5488,0.053457599999999994,0.06146559999999999,940.5759999999999,2043.0,13.5906945,34.38747,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
1,Lamination ,5x3,5.3,3.3,5x3,5.3,3.3,85.0,76.2,240.8,41.45,26.999999999999996,52.6975073937,142.8044461247637,72.7592401818109,22.037406876446838,35.1316715958,13.958905499999998,22043.87812395,128,129,39,43,45,45,4992,5547,0.0559104,0.0621264,1296.4672,2031.4656,13.958905499999998,35.1316715958,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
20,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,130.0,30.0,25.199999999999996,76.26527999999999,97.96718336483931,76.72334711602,25.671007590736746,50.84352,9.576134999999999,21808.208249999996,69,70,50,54,24,24,3450,3780,0.038639999999999994,0.042336,834.0799999999998,2444.0,9.576134999999999,50.84352,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
112,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,120.0,125.0,30.0,25.199999999999996,78.64856999999999,95.54171644612475,76.64007569564482,26.150809227134133,52.432379999999995,9.3390495,21980.192024999997,66,67,51,55,23,23,3366,3685,0.037699199999999995,0.041271999999999996,814.4999999999999,2464.5,9.3390495,52.432379999999995,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
43,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,125.0,35.0,28.699999999999996,76.26527999999999,99.86419659735348,77.72375794478712,25.584570012561,50.84352,9.761565,21984.36675,69,70,50,56,23,23,3450,3920,0.038639999999999994,0.043904,836.9999999999999,2454.0,9.761565,50.84352,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
21,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,135.0,30.0,25.199999999999996,77.62715999999999,97.96718336483931,74.36850604663465,25.753493651003264,51.751439999999995,9.576134999999999,22035.18825,69,70,50,54,25,25,3450,3780,0.038639999999999994,0.042336,866.1599999999999,2478.0,9.576134999999999,51.751439999999995,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
44,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,130.0,35.0,25.199999999999996,77.62715999999999,97.96718336483931,76.72334711602,25.667963763638898,51.751439999999995,9.576134999999999,22035.18825,69,70,50,54,24,24,3450,3780,0.038639999999999994,0.042336,834.0799999999998,2488.0,9.576134999999999,51.751439999999995,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
331,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,120.0,120.0,30.0,25.199999999999996,80.89567199999999,92.9536483931947,76.52176949050042,26.592770545102105,53.930448,9.08607,22114.3785,63,64,52,56,22,22,3276,3584,0.0366912,0.0401408,793.9199999999998,2484.0,9.08607,53.930448,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
